Index of “Le Lien”, French Urantia Association Journal	Índice de “Le Lien”, revista francesa de la Asociación Urantia
1996	1996
Le Lien Urantien — Issue 1 — Summer 1996	Le Lien Urantien — Número 1 — Verano 1996
Le Lien Urantien — Issue 1 — Summer 1996 — Contents	Le Lien Urantien — Número 1 — Verano de 1996
A short story about personality	Una pequeña historia sobre la personalidad.
Infallible cosmic compass	Brújula cósmica infalible
Reflection: They tell us...	Reflexión: Nos dicen...
The Adjuster according to C.G. Jung	El Ajustador según C.G. Jung
When a little peace descends upon us	Cuando un poco de paz desciende sobre nosotros
Urantia on the Internet	Urantia en Internet
Le Lien Urantien — Issue 2 — Autumn 1996	Le Lien Urantien — Número 2 — Otoño 1996
Le Lien Urantien — Issue 2 — Autumn 1996 — Contents	Le Lien Urantien — Número 2 — Otoño de 1996
Artistic conception of the Master Universe	Concepción artística del Universo Maestro
Report of the 3rd International Conference of Associations Affiliated to the I.U.A.	Informe de la 3ª Conferencia Internacional de Asociaciones Afiliadas a la I.U.A.
Meeting of the translators of the URANTIA Book organized by the URANTIA Foundation in PARIS in April 1996	Reunión de traductores del Libro de URANTIA organizada por la Fundación UrANTIA en PARÍS en abril de 1996
The Consecration	La Consagración
Le Lien Urantien — Issue 3 — Winter 1996	Le Lien Urantien — Número 3 — Invierno 1996
Le Lien Urantien — Issue 3 — Winter 1996 — Contents	Le Lien Urantien — Número 3 — Invierno de 1996
Artistic conception of the Master Universe (2) Artistic conception of the Master Universe (2)	Concepción artística del Universo Maestro (2)
The Personality	Personalidad
Bruno Bettelheim and our anguished era	Bruno Bettelheim y nuestros tiempos de ansiedad
1997	1997
Le Lien Urantien — Issue 4 — Summer 1997	Le Lien Urantien — Número 4 — Verano 1997
Le Lien Urantien — Issue 4 — Summer 1997 — Contents	Le Lien Urantien — Número 4 — Verano de 1997
The American justice system rules in favor of copyright on appeal	La justicia estadounidense falla en apelación a favor de los derechos de autor
After death	Despues de la muerte
Deity and divinity	Deidad y divinidad
The Personality (2)	Personalidad (2)
Supremacy	Supremacía
Le Lien Urantien — Issue 5 — Autumn 1997	Le Lien Urantien — Número 5 — Otoño 1997
Le Lien Urantien — Issue 5 — Autumn 1997 — Contents	Le Lien Urantien — Número 5 — Otoño de 1997
