ref	subsections
0:3	Семь Абсолютов|Реальность|Концепция Я ЕСМЬ
0:4	Рай
0:12	Подтверждение
3:5	Неизбежности
3:6	Благословение
4:1	Провиденс
6:4	Всемогущество, вездесущность, всезнание
7:5	Дары Вечного Сына|Дарования Изначального Михаила
8:4	Творческие Дочери
9:8	Функциональная семья Третьего Источника и Центра
10:5	Конечное, абсонитное и абсолютное отношение
10:6	Справедливость, доказательства и суждение
10:8	Пределы смертной судьбы
11:6	Ненасыщенное пространство
11:7	Зоны среднего пространства
11:8	Сила, энергия, мощность
13:1	(1) Дивинингтон | (2) Сонарингтон | (3) Спиритингтон | (4) Вицегерингтон | (5) Солитарингтон | (6) Серафингтон | (7) Асендингтон
13:4	Исполнительные обители Главных Духов
14:1	День Рая-Хавоны | Темные гравитационные тела
14:4	Коренные жители Хавоны
14:5	Однообразие и приключения
15:7	Время сверхвселенной
15:9	Контуры локальной вселенной
16:6	Причинность, долг и поклонение
17:1	Сыновья, тринитизированные существами
19:4	Неподвижные Сыны Троицы
21:0	Оригинальный Майкл
22:1	Тринитизированные Сыны Достижения | Тринитизированные Сыны Избрания | Тринитизированные Сыны Совершенства
22:7	Сыновья, тринитизированные Восходящими Существами | Сыновья, тринитизированные Раем-Хавоной | Тринитизированные сыновья судьбы
23:3	Серафические и другие космические скорости
23:4	Тринитизированные сыны судьбы
24:6	Грандфанда, первый восходящий
26:1	Духи-служители Центральной Вселенной | Духи-служители Сверхвселенных | Духи-служители Локальных Вселенных
26:3	(1) Руководители Гармонии | (2) Главные регистраторы | (3) Радиовещатели | (4) Посыльные | (5) Координаторы разведки | (6) Транспортные работники | (7) Резервный корпус
26:4	Прибытие восходящих в Хавону
26:8	Неспособность найти Божество
26:10	Назначения побежденных кандидатов
26:11	Сыновья, тринитизированные существами
27:1	Природа покоя
28:4	(1) Голос Совместного Актёра | (2) Голос Семи Главных Духов | (3) Голос Сынов-Творцов | (4) Голос Ангельских Воинств | (5) Радиоприёмники | (6) Транспортные Личности | (7) Резервный Корпус
28:5	(1) Голос Мудрости | (2) Душа Философии | (3) Союз Душ | (4) Сердце Совета | (5) Радость Существования | (6) Удовлетворение Служения | (7) Различитель Духов
28:6	(1) Значение происхождения | (2) Память о милосердии | (3) Значение времени | (4) Торжественность доверия | (5) Святость служения | (6) и (7) Секрет величия и душа добра
29:2	(1) Руководители Верховных Центров | (2) Центры Хавоны | (3) Центры Сверхвселенной | (4) Центры Локальных Вселенных | (5) Центры Созвездий | (6) Центры Систем | (7) Неклассифицированные Центры
29:4	(1) Ассоциированные директора по электроснабжению | (2) Механические контроллеры | (3) Трансформаторы энергии | (4) Передатчики энергии | (5) Первичные ассоциаторы | (6) Вторичные диссоциаторы | (7) Франдаланки | Хронольдеки
29:5	Первичные возникшие Главные Организаторы Силы, Ассоциированные Трансцендентальные Главные Организаторы Силы
30:1	I. Существа триединого происхождения | II. Существа двойственного происхождения | III. Существа единого происхождения | IV. Возникшие трансцендентные существа | V. Фрагментированные сущности божества | VI. Сверхличностные существа | VII. Неклассифицированные и нераскрытые категории
30:2	I. Райские Божества | II. Высшие Духи | III. Существа Троичного Происхождения | IV. Сыны Бога | V. Личности Бесконечного Духа | VI. Управители Вселенской Энергии | VII. Корпус Постоянного Гражданства | Составные Группы Личностей
